report_date,total_pounds_butt_CC,z_score
2023-12-22,180175.0,2.1578601904561414
2023-12-04,210123.0,2.6321477786708543
2023-11-20,430149.0,6.116707712039707
2023-10-20,205591.0,2.560374326360547
2023-10-16,213807.0,2.6904914234879707
2023-10-04,274176.0,3.646557518483763
2023-10-03,210285.0,2.634713378687242
2023-09-19,252089.0,3.296764879212414
2023-09-12,183246.0,2.2064957315075433
2023-05-22,182520.0,2.1949980425452127
2023-05-03,190901.0,2.3277282508004387
2023-03-08,213975.0,2.693152045727188
2023-01-09,187345.0,2.2714117467370114
2022-11-02,175147.0,2.0782315677252887
2021-11-24,207610.0,2.592349304342566
2021-11-16,212264.0,2.666054875183733
2021-09-23,195984.0,2.408227910573892
2021-09-17,262592.0,3.4631012802748935
2021-06-24,326465.0,4.4746603534029274
2021-06-03,218150.0,2.7592716757791584
2021-01-08,288561.0,3.874373297716722
2020-12-01,262955.0,3.4688501247560586
2020-10-27,174923.0,2.074684071406333
2020-10-26,255683.0,3.353683190687093
2020-10-19,172790.0,2.0409036711905593
2020-10-07,338242.0,4.66117313977947
2020-07-15,200301.0,2.4765963998994867
2020-07-08,256053.0,3.3595428944282255
2020-06-16,528728.0,7.677906996085993
2020-04-17,218519.0,2.7651155424831533
2020-04-03,196800.0,2.4211509328786605
2020-03-06,171107.0,2.0142499376869742
2020-02-19,244647.0,3.178905648829955
2020-02-05,237095.0,3.059304344362294
2020-01-06,585015.0,8.569326305483667
2019-12-10,226475.0,2.8911150099546457
2019-12-03,247702.0,3.2272877972871457
2019-11-25,303996.0,4.118817965944786
2019-11-14,452258.0,6.466848766128097
2019-11-07,207400.0,2.589023526543545
2019-07-15,242025.0,3.137380937453603
2019-06-24,361374.0,5.027515482860234
2019-06-05,425779.0,6.047499859745788
2019-05-20,285564.0,3.8269096974135466
2019-05-01,343795.0,4.749116207007875
2019-04-26,202692.0,2.514462755696915
2019-04-09,185400.0,2.2406087095032188
2019-03-13,215246.0,2.7132809199298356
2019-02-26,232129.0,2.980657617934009
2019-01-08,180059.0,2.1560230941481104
2019-01-03,228930.0,2.929994936128918
2018-09-06,177776.0,2.1198671383616077
2018-07-12,186284.0,2.2546086503333846
2018-03-07,249214.0,3.2512333974400986
2018-02-22,379318.0,5.311695277268034
2018-01-18,349879.0,4.8454687409566635
2017-09-20,183505.0,2.210597524126336
2017-09-01,432822.0,6.159040112310107
2017-07-24,179006.0,2.1393466940415897
2017-05-04,229608.0,2.9407324473086156
2017-04-24,241438.0,3.1280845966534816
