report_date,weighted_average_butt_CC,z_score
2023-08-29,668.55,2.14088754372718
2023-08-22,692.16,2.4263593717592764
2023-08-01,656.99,2.001113959142215
2023-07-07,698.18,2.499148037780167
2023-06-29,709.84,2.6401307364186364
2023-06-02,689.42,2.39322964669329
2021-09-13,696.72,2.4814949725990214
2021-09-09,698.08,2.4979389237266645
2021-09-07,710.76,2.651254585710865
2021-09-03,675.89,2.2296365152543127
2021-09-02,723.2,2.801668373966659
2021-08-31,692.3,2.428052131434181
2021-08-30,728.13,2.861277696804364
2021-08-25,722.1,2.7883681193781236
2021-08-24,713.61,2.6857143362357054
2021-08-20,669.37,2.1508022789659065
2021-08-18,688.26,2.3792039236726534
2021-08-17,687.47,2.3696519226499793
2021-06-16,704.25,2.5725412608278093
2021-06-10,730.64,2.891626459547293
2021-06-09,777.6,3.4594264190723782
2021-06-08,758.97,3.234168470904739
2021-06-07,763.78,3.292326856878241
2021-06-04,758.4,3.2272765207997707
2021-06-03,681.52,2.2977096364665406
2021-06-02,712.57,2.6731395500792727
2021-05-27,750.8,3.13538385273353
2021-05-26,753.56,3.1687554006102174
2021-05-25,740.89,3.015560650031367
2021-05-24,741.35,3.021122574677482
2021-05-20,739.52,2.998995787498374
2021-05-19,746.61,3.0847219738917486
2021-05-12,683.93,2.326849285155966
2021-05-11,714.4,2.6952663372583796
2021-05-06,687.66,2.3719492393516344
2021-05-05,711.76,2.6633457262458964
2021-04-29,686.38,2.3564725794667942
2021-04-23,658.65,2.0211852524303673
2021-04-21,666.45,2.115496148603615
2021-04-16,660.92,2.048632141444889
2021-04-07,664.96,2.0974803492064176
2020-04-03,281.0,-2.5450339706243206
