report_date,total_pounds_butt_bnls,z_score
2022-05-06,93132.0,4.119510616164128
2020-04-23,57611.0,2.3360191452083776
2020-04-15,133111.0,6.126836015711999
2019-02-12,79866.0,3.4534314558449086
2019-01-24,174641.0,8.212036341963858
2018-10-30,72672.0,3.092224349005133
2018-10-11,77650.0,3.342167214983504
2018-05-31,131549.0,6.048408784563301
2018-05-07,76830.0,3.300995429105187
2018-04-20,80612.0,3.4908877390951827
2018-02-27,89899.0,3.957183318914615
2017-11-30,89823.0,3.9533673972966246
2017-10-12,70473.0,2.9818136695582793
2017-09-22,66595.0,2.787101248050822
2017-09-07,63949.0,2.6542469243507876
2017-07-28,87614.0,3.842454622900035
2017-04-14,62562.0,2.584606354822463
2017-03-03,153948.0,7.173051262476024
2017-02-08,61448.0,2.528672977421919
2017-02-01,162949.0,7.624986926733019
2017-01-24,53305.0,2.1198170598522377
2017-01-23,273259.0,13.163596317266189
2017-01-18,55231.0,2.21652054717131
2017-01-13,145515.0,6.749634591364011
