report_date,weighted_average_tndrloin,z_score
2023-12-22,1670.98,2.0362687772349726
2023-12-20,1712.89,2.2012250930496275
2023-12-19,1689.77,2.110225569746482
2023-12-18,1689.81,2.1103830083681134
2023-12-15,1781.2,2.4700908991412294
2023-12-13,1765.99,2.4102248632657606
2023-12-12,1779.7,2.4641869508300394
2023-12-11,1779.48,2.4633210384110646
2023-12-08,1784.07,2.481387120243306
2023-12-07,1785.22,2.485913480615219
2023-12-06,1786.72,2.4918174289264092
2023-12-05,1805.54,2.5658923004041423
2023-11-30,1751.39,2.352759766370176
2023-11-27,1716.51,2.215473288307299
2023-11-24,1713.48,2.2035473127186953
2023-11-22,1716.08,2.213780823124758
2023-11-20,1717.79,2.220511324199515
2023-11-17,1725.7,2.2516448116271914
2023-11-16,1718.0,2.221337876963082
2023-11-15,1699.45,2.148325716181363
2023-11-13,1677.72,2.0627971849799205
2023-11-10,1679.67,2.070472317784468
2023-11-07,1688.3,2.104439700401515
2023-11-06,1741.75,2.3148170585569265
2023-11-01,1739.48,2.3058824167793257
2023-10-30,1702.79,2.1614718410876126
2023-10-23,1786.21,2.4898100865006048
2023-04-26,1666.2,2.0174548619499797
2023-04-25,1662.38,2.002419473584149
2023-04-24,1699.24,2.147499163417796
2022-12-27,1674.5,2.0501233759385653
2021-09-09,1690.85,2.1144764125305384
2021-09-08,1699.89,2.1500575410193123
2021-09-07,1754.24,2.3639772681614373
2021-09-03,1677.84,2.0632695008448154
2021-09-02,1678.02,2.0639779746421585
2021-09-01,1674.07,2.048430910756024
2021-08-31,1693.92,2.1265598267407753
2021-08-30,1748.81,2.3426049752749285
2021-08-27,1745.32,2.328868455537559
2021-08-26,1731.84,2.275811640047663
2021-08-25,1741.35,2.3132426723406088
2021-08-24,1766.48,2.4121534863807494
2021-08-20,1737.47,2.297971126042331
2021-08-19,1751.88,2.354688389485165
2021-08-18,1734.65,2.2868717032172934
2021-08-17,1700.61,2.152891436208683
2021-08-12,1665.22,2.013597615720002
2021-07-06,1704.97,2.170052245966543
2021-07-02,1704.85,2.169579930101647
2021-07-01,1692.32,2.120262281875505
2021-06-30,1723.95,2.244756871930803
2021-06-28,1681.26,2.0767305029943293
2021-06-25,1759.55,2.38487724518305
2021-06-24,1749.41,2.344966554599405
2021-06-23,1744.01,2.32371234067912
2021-06-22,1824.22,2.639416136706165
2021-06-18,1822.34,2.6320165214894726
2021-06-17,1830.48,2.6640552809915317
2021-06-16,1830.14,2.6627170527076625
2021-06-14,1832.67,2.6726750455258697
2021-06-11,1830.04,2.6623234561535827
2021-06-10,1821.34,2.628080555948679
2021-06-09,1815.88,2.6065901840959476
2021-06-08,1861.19,2.7849287827492994
2021-06-07,1860.5,2.782212966526152
2021-06-04,1779.83,2.464698626350342
2021-06-03,1791.9,2.51220573042772
2021-06-02,1820.5,2.624774344894413
2021-06-01,1767.98,2.4180574346919395
2021-05-28,1765.02,2.4064069766911906
2021-05-27,1791.09,2.5090175983396765
2021-05-26,1771.36,2.431360998219821
2021-05-25,1785.66,2.4876453054531686
2021-05-24,1724.61,2.247354609187726
2021-05-21,1702.38,2.159858095215888
2021-05-20,1712.13,2.1982337592386245
2021-05-19,1706.16,2.1747360449600874
2021-05-17,1683.55,2.085743864082746
2020-04-20,593.13,-2.2061116809092747
2020-04-17,588.5,-2.2243352013631483
2020-04-16,548.73,-2.3808685509205048
2020-04-15,523.56,-2.4799368035822766
2020-04-14,522.34,-2.4847386815420447
2020-04-13,530.62,-2.4521488868642747
2020-04-10,521.7,-2.4872576994881523
2020-04-09,529.85,-2.4551795803306855
2020-04-08,509.67,-2.5346073649438976
2020-04-07,528.6,-2.4600995372566774
2020-04-06,621.64,-2.0938973033412527
2020-04-02,641.22,-2.016831098052516
