year_week,total_pounds
2016-01,32046.0
2016-02,41628.0
2016-03,36164.0
2016-04,75848.0
2016-05,85469.0
2016-06,18975.0
2016-07,25170.0
2016-08,37193.0
2016-09,24325.0
2016-10,49945.0
2016-11,28595.0
2016-12,20719.0
2016-13,101139.0
2016-14,17125.0
2016-15,87574.0
2016-16,52662.0
2016-17,23623.0
2016-18,12493.0
2016-19,221308.0
2016-20,19358.0
2016-21,30726.0
2016-22,39319.0
2016-23,18705.0
2016-24,150709.0
2016-25,47480.0
2016-26,100835.0
2016-27,64839.0
2016-28,34127.0
2016-29,18575.0
2016-30,99156.0
2016-31,57214.0
2016-32,40091.0
2016-33,24024.0
2016-34,43288.0
2016-35,28529.0
2016-36,38605.0
2016-37,29364.0
2016-38,28229.0
2016-39,41968.0
2016-40,104443.0
2016-41,32612.0
2016-42,88009.0
2016-43,40255.0
2016-44,17896.0
2016-45,20308.0
2016-46,121405.0
2016-47,60779.0
2016-48,11151.0
2016-49,18069.0
2016-50,27719.0
2016-51,21489.0
2016-52,25608.0
2017-01,20216.0
2017-02,205260.0
2017-03,83873.0
2017-04,363245.0
2017-05,182754.0
2017-06,100808.0
2017-07,27107.0
2017-08,47647.0
2017-09,195223.0
2017-10,86245.0
2017-11,26682.0
2017-12,27833.0
2017-13,26314.0
2017-14,15462.0
2017-15,88261.0
2017-16,34713.0
2017-17,36367.0
2017-18,30076.0
2017-19,16660.0
2017-20,29522.0
2017-21,25259.0
2017-22,32109.0
2017-23,23846.0
2017-24,35824.0
2017-25,31343.0
2017-26,20395.0
2017-27,34235.0
2017-28,16637.0
2017-29,52227.0
2017-30,102575.0
2017-31,24657.0
2017-32,28635.0
2017-33,73541.0
2017-34,81078.0
2017-35,52352.0
2017-36,125861.0
2017-37,57855.0
2017-38,90412.0
2017-39,60647.0
2017-40,73332.0
2017-41,100910.0
2017-42,27280.0
2017-43,28802.0
2017-44,44165.0
2017-45,18318.0
2017-46,16943.0
2017-47,15190.0
2017-48,105323.0
2017-49,41769.0
2017-50,25912.0
2017-51,12440.0
2017-52,16235.0
2018-00,22621.0
2018-01,40801.0
2018-02,40066.0
2018-03,36481.0
2018-04,80425.0
2018-05,19076.0
2018-06,33743.0
2018-07,73589.0
2018-08,150363.0
2018-09,17572.0
2018-10,61461.0
2018-11,26473.0
2018-12,22260.0
2018-13,23083.0
2018-14,23273.0
2018-15,134529.0
2018-16,66898.0
2018-17,44499.0
2018-18,93808.0
2018-19,6686.0
2018-20,88105.0
2018-21,144900.0
2018-22,38824.0
2018-23,13265.0
2018-24,15239.0
2018-25,31446.0
2018-26,73089.0
2018-27,37795.0
2018-28,40084.0
2018-29,70393.0
2018-30,15731.0
2018-31,56061.0
2018-32,52724.0
2018-33,25554.0
2018-34,20534.0
2018-35,31651.0
2018-36,49429.0
2018-37,18525.0
2018-38,83329.0
2018-39,29231.0
2018-40,123468.0
2018-41,18938.0
2018-42,65286.0
2018-43,89830.0
2018-44,53402.0
2018-45,9583.0
2018-46,43159.0
2018-47,9408.0
2018-48,9887.0
2018-49,6290.0
2018-50,3950.0
2018-51,14296.0
2018-52,6590.0
2019-00,12133.0
2019-01,57382.0
2019-02,23787.0
2019-03,229181.0
2019-04,5779.0
2019-05,32422.0
2019-06,112291.0
2019-07,5184.0
2019-08,19641.0
2019-09,10619.0
2019-10,13366.0
2019-11,23626.0
2019-12,15495.0
2019-13,8748.0
2019-14,9196.0
2019-15,30391.0
2019-16,16219.0
2019-17,20198.0
2019-18,9405.0
2019-19,42556.0
2019-20,19640.0
2019-21,51753.0
2019-22,6152.0
2019-23,13739.0
2019-24,7095.0
2019-25,17962.0
2019-26,5395.0
2019-27,10825.0
2019-28,8937.0
2019-29,9717.0
2019-30,51720.0
2019-31,22425.0
2019-32,59847.0
2019-33,21075.0
2019-34,29601.0
2019-35,7880.0
2019-36,2014.0
2019-37,9815.0
2019-38,5825.0
2019-39,5406.0
2019-40,9826.0
2019-41,2004.0
2019-42,10059.0
2019-43,9349.0
2019-44,1773.0
2019-45,7882.0
2019-46,22909.0
2019-47,3032.0
2019-48,5850.0
2019-49,11871.0
2019-50,21160.0
2019-51,6179.0
2019-52,4826.0
2020-00,10337.0
2020-01,29979.0
2020-02,11121.0
2020-03,16355.0
2020-04,11905.0
2020-05,57270.0
2020-06,15039.0
2020-07,13789.0
2020-08,7984.0
2020-09,21151.0
2020-10,15910.0
2020-11,18437.0
2020-12,21240.0
2020-13,21266.0
2020-14,1422.0
2020-15,157830.0
2020-16,78076.0
2020-17,11470.0
2020-18,0.0
2020-19,0.0
2020-20,0.0
2020-21,0.0
2020-22,27725.0
2020-23,2490.0
2020-24,8684.0
2020-25,19493.0
2020-26,15342.0
2020-27,24128.0
2020-28,0.0
2020-29,8673.0
2020-30,7723.0
2020-31,15034.0
2020-32,8304.0
2020-33,10967.0
2020-34,6180.0
2020-35,2350.0
2020-36,10587.0
2020-37,4392.0
2020-38,0.0
2020-39,18692.0
2020-40,4279.0
2020-41,25515.0
2020-42,48718.0
2020-43,59770.0
2020-44,9188.0
2020-45,1660.0
2020-46,24683.0
2020-47,0.0
2020-48,22103.0
2020-49,1795.0
2020-50,5909.0
2020-51,0.0
2020-52,14847.0
2021-01,16559.0
2021-02,6083.0
2021-03,7054.0
2021-04,60892.0
2021-05,11237.0
2021-06,8054.0
2021-07,18766.0
2021-08,0.0
2021-09,0.0
2021-10,14141.0
2021-11,17886.0
2021-12,12383.0
2021-13,0.0
2021-14,6635.0
2021-15,3340.0
2021-16,17739.0
2021-17,3812.0
2021-18,4162.0
2021-19,9973.0
2021-20,12333.0
2021-21,5535.0
2021-22,8940.0
2021-23,7080.0
2021-24,9811.0
2021-25,1625.0
2021-26,12794.0
2021-27,17799.0
2021-28,11799.0
2021-29,0.0
2021-30,14840.0
2021-31,25083.0
2021-32,7477.0
2021-33,0.0
2021-34,4674.0
2021-35,2154.0
2021-36,0.0
2021-37,7978.0
2021-38,7537.0
2021-39,0.0
2021-40,10781.0
2021-41,7416.0
2021-42,6114.0
2021-43,14847.0
2021-44,4022.0
2021-45,10885.0
2021-46,12761.0
2021-47,10427.0
2021-48,10013.0
2021-49,2095.0
2021-50,7752.0
2021-51,52679.0
2021-52,5268.0
2022-01,8067.0
2022-02,0.0
2022-03,1772.0
2022-04,1641.0
2022-05,0.0
2022-06,1501.0
2022-07,1646.0
2022-08,25589.0
2022-09,13052.0
2022-10,22075.0
2022-11,4315.0
2022-12,3993.0
2022-13,3978.0
2022-14,1362.0
2022-15,8222.0
2022-16,2424.0
2022-17,29434.0
2022-18,93132.0
2022-19,25633.0
2022-20,2133.0
2022-21,5334.0
2022-22,3606.0
2022-23,2244.0
2022-24,1723.0
2022-25,5865.0
2022-26,1519.0
2022-27,0.0
2022-28,1537.0
2022-29,14257.0
2022-30,2605.0
2022-31,2305.0
2022-32,3492.0
2022-33,2144.0
2022-34,0.0
2022-35,2779.0
2022-36,0.0
2022-37,0.0
2022-38,2139.0
2022-39,0.0
2022-40,13433.0
2022-41,2102.0
2022-42,1199.0
2022-43,7631.0
2022-44,0.0
2022-45,2378.0
2022-46,8257.0
2022-47,3566.0
2022-48,0.0
2022-49,0.0
2022-50,3304.0
2022-51,0.0
2022-52,8353.0
2023-01,40640.0
2023-02,3820.0
2023-03,0.0
2023-04,4977.0
2023-05,3681.0
2023-06,0.0
2023-07,0.0
2023-08,8943.0
2023-09,0.0
2023-10,13786.0
2023-11,1862.0
2023-12,15922.0
2023-13,27953.0
2023-14,0.0
2023-15,1295.0
2023-16,1723.0
2023-17,0.0
2023-18,0.0
2023-19,39462.0
2023-20,0.0
2023-21,9566.0
2023-22,3517.0
2023-23,0.0
2023-24,2506.0
2023-25,0.0
2023-26,2493.0
2023-27,2643.0
2023-28,1288.0
2023-29,3005.0
2023-30,0.0
2023-31,3273.0
2023-32,0.0
2023-33,6433.0
2023-34,4408.0
2023-35,0.0
2023-36,3678.0
2023-37,0.0
2023-38,0.0
2023-39,0.0
2023-40,11556.0
2023-41,10731.0
2023-42,10173.0
2023-43,0.0
2023-44,0.0
2023-45,20639.0
2023-46,7823.0
2023-47,4980.0
2023-48,4851.0
2023-49,32212.0
2023-50,0.0
2023-51,26956.0
2023-52,0.0
